>PF3D7_0210100.1-p1  gene_product=60S ribosomal protein L37ae, putative 
>PF3D7_0210100.2-p1  gene_product=60S ribosomal protein L37ae, putative 
>PF3D7_0210400.1-p1  gene_product=50S ribosomal protein L33, putative 
>PF3D7_0212200.1-p1  gene_product=ribosomal protein L12, mitochondrial, putative 
>PF3D7_0214200.1-p1  gene_product=ribosomal protein L13, mitochondrial 
>PF3D7_0304400.1-p1  gene_product=60S ribosomal protein L44 
>PF3D7_0307100.1-p1  gene_product=40S ribosomal protein S12, putative 
>PF3D7_0307200.1-p1  gene_product=60S ribosomal protein L7, putative 
>PF3D7_0310000.1-p1  gene_product=50S ribosomal protein L9, apicoplast, putative 
>PF3D7_0315500.1-p1  gene_product=ribosomal protein L47, mitochondrial, putative 
>PF3D7_0316100.1-p1  gene_product=ribosomal protein L27, mitochondrial, putative 
>PF3D7_0317600.1-p1  gene_product=40S ribosomal protein S11, putative 
>PF3D7_0406800.1-p1  gene_product=ribosomal protein L25, putative 
>PF3D7_0412100.1-p1  gene_product=ribosomal protein S12, mitochondrial 
>PF3D7_0413800.1-p1  gene_product=50S ribosomal protein L10, putative 
>PF3D7_0415900.1-p1  gene_product=60S ribosomal protein L15, putative 
>PF3D7_0422400.1-p1  gene_product=40S ribosomal protein S19 
>PF3D7_0503000.1-p1  gene_product=50S ribosomal protein L28, apicoplast, putative 
>PF3D7_0503800.1-p1  gene_product=60S ribosomal protein L31 
>PF3D7_0506100.1-p1  gene_product=60S ribosomal subunit protein L24, putative 
>PF3D7_0519100.1-p1  gene_product=50S ribosomal protein L14, mitochondrial, putative 
>PF3D7_0521500.1-p1  gene_product=ribosomal large subunit pseudouridylate synthase, putative 
>PF3D7_0522500.1-p1  gene_product=50S ribosomal protein L17, apicoplast, putative 
>PF3D7_0524600.1-p1  gene_product=50S ribosomal protein L12, apicoplast, putative 
>PF3D7_0531200.1-p1  gene_product=ribosomal protein S16, mitochondrial, putative 
>PF3D7_0605000.1-p1  gene_product=50S ribosomal protein L24, putative 
>PF3D7_0610000.1-p1  gene_product=ribosomal protein L19, mitochondrial, putative 
>PF3D7_0613400.1-p1  gene_product=50S ribosomal protein L18, apicoplast, putative 
>PF3D7_0626900.1-p1  gene_product=ribosomal protein L46, mitochondrial, putative 
>PF3D7_0705700.1-p1  gene_product=40S ribosomal protein S29, putative 
