>PF3D7_0310000.1-p1  gene_product=50S ribosomal protein L9, apicoplast, putative 
>PF3D7_0503000.1-p1  gene_product=50S ribosomal protein L28, apicoplast, putative 
>PF3D7_0522500.1-p1  gene_product=50S ribosomal protein L17, apicoplast, putative 
>PF3D7_0524600.1-p1  gene_product=50S ribosomal protein L12, apicoplast, putative 
>PF3D7_0529300.1-p1  gene_product=apicoplast TIC22 protein 
>PF3D7_0613400.1-p1  gene_product=50S ribosomal protein L18, apicoplast, putative 
>PF3D7_0810100.1-p1  gene_product=ribosomal protein L33, apicoplast, putative 
>PF3D7_0815900.1-p1  gene_product=dihydrolipoyl dehydrogenase, apicoplast 
>PF3D7_0827500.1-p1  gene_product=ribosomal protein L21, apicoplast, putative 
>PF3D7_0907800.1-p1  gene_product=ribosomal protein L35, apicoplast, putative 
>PF3D7_0908100.1-p1  gene_product=apicoplast integral membrane protein, putative 
>PF3D7_0918200.1-p1  gene_product=50S ribosomal protein L3, apicoplast, putative 
>PF3D7_0932600.1-p1  gene_product=apicoplast ribosomal protein S6, putative 
>PF3D7_1021300.1-p1  gene_product=apicoplast integral membrane protein, putative 
>PF3D7_1106100.1-p1  gene_product=ribosomal protein S15, apicoplast, putative 
>PF3D7_1137500.1-p1  gene_product=ribosomal protein S14, apicoplast, putative 
>PF3D7_1144700.1-p1  gene_product=apicoplast import protein Tic20, putative 
>PF3D7_1208000.1-p1  gene_product=ribosomal protein L29, apicoplast, putative 
>PF3D7_1210000.1-p1  gene_product=50S ribosomal protein L1, apicoplast, putative 
>PF3D7_1329700.1-p1  gene_product=apicoplast calcium binding protein 1 
>PF3D7_1429100.1-p1  gene_product=ribosomal protein L15, apicoplast, putative 
>PF3D7_1460900.2-p1  gene_product=ribosomal protein S10, apicoplast, putative 
>PF3D7_1467400.1-p1  gene_product=50S ribosomal protein L22, apicoplast, putative 
>PF3D7_API01500.1-p1  gene_product=apicoplast ribosomal protein L2 
>PF3D7_API01800.1-p1  gene_product=apicoplast ribosomal protein L16 
>PF3D7_API02300.1-p1  gene_product=apicoplast ribosomal protein S5 
>PF3D7_API02700.1-p1  gene_product=apicoplast ribosomal protein S12 
>PF3D7_API03500.1-p1  gene_product=apicoplast ribosomal protein L11, putative 
