SEQENCE_ID                     TM SP PREDICTION
PF3D7_0100100.1-p1              1  0 o1724-1750i
PF3D7_0100200.1-p1              1  0 o289-311i
PF3D7_0100300.1-p1              1  0 o893-910i
PF3D7_0100400.1-p1              1  0 o327-352i
PF3D7_0100600.1-p1              1  Y n8-19c26/27o314-339i
PF3D7_0100800.1-p1              1  0 o303-324i
PF3D7_0100900.1-p1              1  0 o308-330i
PF3D7_0101000.1-p1              1  Y n8-19c23/24o316-338i
PF3D7_0101100.1-p1              3  0 o6-22i225-246o266-291i
PF3D7_0101200.1-p1              0  Y n4-15c19/20o
PF3D7_0101300.1-p1              2  0 i161-182o188-209i
PF3D7_0101600.1-p1              1  0 o324-349i
PF3D7_0101800.1-p1              3  Y n8-15c19/20o176-197i218-240o246-271i
PF3D7_0101900.1-p1              1  Y n8-19c24/25o301-323i
PF3D7_0102200.1-p1              0  0 i
PF3D7_0102300.1-p1              0  Y n9-20c24/25o
PF3D7_0102500.1-p1              1  Y n8-21c26/27o1489-1510i
PF3D7_0102700.1-p1              0  Y n9-19c24/25o
PF3D7_0102800.1-p1              3  0 o199-229i549-567o573-603i
PF3D7_0103000.1-p1              0  0 i
PF3D7_0103100.1-p1              2  0 o472-492i703-727o
PF3D7_0103200.1-p1             11  0 i12-31o43-65i72-93o99-117i138-157o169-190i271-290o310-330i337-355o361-385i406-432o
PF3D7_0103500.1-p1              5  0 o297-315i327-344o883-902i1277-1293o1777-1798i
PF3D7_0103800.1-p1              0  0 i
PF3D7_0103900.1-p1              1  Y n8-21c26/27o542-563i
PF3D7_0104000.1-p1              2  0 o6-23i135-158o
PF3D7_0104100.1-p1              5  0 i92-114o158-183i376-404o424-452i763-786o
PF3D7_0104200.1-p1              0  Y n8-18c23/24o
PF3D7_0104500.1-p1              0  0 i
PF3D7_0104600.1-p1              0  0 i
PF3D7_0104700.1-p1             12  0 i12-33o75-95i102-121o127-152i159-178o190-215i526-546o566-586i591-611o617-639i651-673o685-704i
PF3D7_0104800.1-p1             12  0 i38-58o94-113i120-140o146-165i177-196o208-231i380-404o416-438i445-467o473-491i498-517o537-558i
PF3D7_0105100.1-p1              0  0 i
PF3D7_0105200.1-p1              0  0 i
PF3D7_0105400.1-p1              1  Y n3-13c20/21o87-110i
PF3D7_0105500.1-p1              0  0 i
PF3D7_0105700.1-p1              0  0 i
PF3D7_0106200.1-p1              0  0 i
PF3D7_0106600.1-p1              0  Y n4-14c18/19o
PF3D7_0106800.1-p1              0  0 i
PF3D7_0107100.1-p1              0  0 i
PF3D7_0107200.1-p1              0  0 i
PF3D7_0107300.1-p1              0  Y n7-14c22/23o
PF3D7_0107500.1-p1             12  0 i37-56o495-513i525-548o560-579i600-623o629-653i1080-1100o1317-1335i1342-1366o1372-1389i1410-1432o1438-1463i
PF3D7_0107900.1-p1              0  Y n2-13c18/19o
PF3D7_0108000.1-p1              0  0 i
PF3D7_0108100.1-p1              0  0 i
PF3D7_0108600.1-p1              1  0 i172-194o
PF3D7_0108700.1-p1              3  Y n3-14c19/20o461-479i491-509o521-538i
PF3D7_0109000.1-p1              0  0 i
PF3D7_0109100.1-p1              0  0 i
PF3D7_0109600.1-p1              0  0 i
PF3D7_0109950.1-p1              2  0 i96-116o122-144i
PF3D7_0110000.1-p1              1  0 o6-24i
PF3D7_0111200.1-p1              0  0 i
PF3D7_0111700.1-p1              0  0 i
PF3D7_0112100.1-p1              0  Y n8-19c27/28o
PF3D7_0112200.1-p1             13  0 o125-146i167-186o192-210i316-339o351-373i426-452o1156-1181i1216-1238o1250-1268i1289-1308o1314-1332i1392-1415o1435-1458i
PF3D7_0112800.1-p1              1  0 i7-27o
PF3D7_0112900.1-p1              2  0 o6-27i163-180o
PF3D7_0113000.1-p1              0  Y n10-20c28/29o
PF3D7_0113100.1-p1              1  0 o308-327i
PF3D7_0113200.1-p1              2  0 i54-71o573-591i
