>PF3D7_0102900.1-p1  gene_product=aspartate--tRNA ligase 
>PF3D7_0103600.1-p1  gene_product=ATP-dependent DNA/RNA helicase PSH1 
>PF3D7_0103700.1-p1  gene_product=L-seryl-tRNA(Sec) kinase, putative 
>PF3D7_0106400.1-p1  gene_product=pre-rRNA-processing protein TSR2, putative 
>PF3D7_0109700.1-p1  gene_product=rRNA biogenesis protein RRP36, putative 
>PF3D7_0110400.1-p1  gene_product=DNA-directed RNA polymerase II subunit RPB9, putative 
>PF3D7_0205500.1-p1  gene_product=DNA-directed RNA polymerase II 16 kDa subunit, putative 
>PF3D7_0206600.1-p1  gene_product=DNA-directed RNA polymerase III subunit RPC10, putative 
>PF3D7_0209800.1-p1  gene_product=ATP-dependent RNA helicase UAP56 
>PF3D7_0211800.1-p1  gene_product=asparagine--tRNA ligase 
>PF3D7_0218300.1-p1  gene_product=rRNA methyltransferase, putative 
>PF3D7_0302800.1-p1  gene_product=RNA-binding protein, putative 
>PF3D7_0303300.1-p1  gene_product=DNA-directed RNA polymerases I, II, and III subunit RPABC2, putative 
>PF3D7_0305600.1-p1  gene_product=DNA-(apurinic or apyrimidinic site) endonuclease 
>PF3D7_0308000.1-p1  gene_product=DNA polymerase delta small subunit, putative 
>PF3D7_0308600.1-p1  gene_product=pre-mRNA-processing factor 19, putative 
>PF3D7_0310500.1-p1  gene_product=ATP-dependent RNA helicase DHX57, putative 
>PF3D7_0311200.1-p1  gene_product=valine--tRNA ligase, putative 
>PF3D7_0320800.1-p1  gene_product=ATP-dependent RNA helicase DDX6 
>PF3D7_0407200.1-p1  gene_product=peptidyl-tRNA hydrolase 2, putative 
>PF3D7_0408900.1-p1  gene_product=tRNA N6-adenosine threonylcarbamoyltransferase 
>PF3D7_0411400.1-p1  gene_product=DEAD box ATP-dependent RNA helicase, putative 
>PF3D7_0416100.1-p1  gene_product=glutamyl-tRNA(Gln) amidotransferase subunit A 
>PF3D7_0416500.1-p1  gene_product=repressor of RNA polymerase III transcription MAF1 
>PF3D7_0504200.1-p1  gene_product=ATP-dependent RNA helicase DDX27, putative 
>PF3D7_0508800.1-p1  gene_product=single-stranded DNA-binding protein 
>PF3D7_0509600.1-p1  gene_product=asparagine--tRNA ligase 
>PF3D7_0514300.1-p1  gene_product=aspartate--tRNA ligase, putative 
>PF3D7_0516300.1-p1  gene_product=tRNA pseudouridine synthase, putative 
>PF3D7_0520200.1-p1  gene_product=mediator of RNA polymerase II transcription subunit 17, putative 
>PF3D7_0520300.1-p1  gene_product=U6 snRNA-associated Sm-like protein LSm2, putative 
>PF3D7_0520400.1-p1  gene_product=single-stranded DNA-binding protein, putative 
>PF3D7_0522300.1-p1  gene_product=18S rRNA (guanine-N(7))-methyltransferase, putative 
>PF3D7_0522800.1-p1  gene_product=pre-mRNA-splicing factor BUD31, putative 
>PF3D7_0525600.1-p1  gene_product=RNA methyltransferase, putative 
>PF3D7_0603100.1-p1  gene_product=RNA-binding protein, putative 
>PF3D7_0603700.1-p1  gene_product=phenylalanine--tRNA ligase 
>PF3D7_0610500.1-p1  gene_product=peptidyl-tRNA hydrolase PTRHD1, putative 
>PF3D7_0617300.1-p1  gene_product=RNA-binding protein, putative 
>PF3D7_0622200.1-p1  gene_product=tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase 
>PF3D7_0622800.1-p1  gene_product=leucine--tRNA ligase, putative 
>PF3D7_0623700.1-p1  gene_product=ATP-dependent RNA helicase SUV3, putative 
>PF3D7_0625300.1-p1  gene_product=mitochondrial DNA polymerase 
>PF3D7_0628800.1-p1  gene_product=glutamyl-tRNA(Gln) amidotransferase subunit B 
>PF3D7_0705600.1-p1  gene_product=RNA helicase, putative 
>PF3D7_0708100.1-p1  gene_product=DNA-directed RNA polymerases I, II, and III subunit RPABC5, putative 
>PF3D7_0709300.1-p1  gene_product=mediator of RNA polymerase II transcription subunit 14, putative 
>PF3D7_0717700.1-p1  gene_product=serine--tRNA ligase, putative 
>PF3D7_0723000.1-p1  gene_product=tRNAHis guanylyltransferase, putative 
>PF3D7_0730100.1-p1  gene_product=tRNA pseudouridine synthase D, putative 
>PF3D7_0810600.1-p1  gene_product=ATP-dependent RNA helicase DBP1, putative 
>PF3D7_0811900.1-p1  gene_product=RNA-binding protein, putative 
>PF3D7_0817100.1-p1  gene_product=tRNA modification GTPase, putative 
>PF3D7_0818400.1-p1  gene_product=rRNA-processing protein FCF1, putative 
>PF3D7_0819900.1-p1  gene_product=U6 snRNA-associated Sm-like protein LSm3, putative 
>PF3D7_0820100.1-p1  gene_product=RNA-binding protein, putative 
>PF3D7_0823200.1-p1  gene_product=RNA-binding protein, putative 
>PF3D7_0828200.1-p1  gene_product=leucine--tRNA ligase, putative 
>PF3D7_0829300.1-p1  gene_product=U6 snRNA-associated Sm-like protein LSm8, putative 
>PF3D7_0903400.1-p1  gene_product=ATP-dependent RNA helicase DDX60, putative 
>PF3D7_0908700.1-p1  gene_product=tRNA pseudouridine synthase, putative 
>PF3D7_0913900.1-p1  gene_product=arginine--tRNA ligase, putative 
>PF3D7_0916700.1-p1  gene_product=RNA-binding protein musashi, putative 
>PF3D7_0918600.1-p1  gene_product=ATP-dependent DNA helicase Q1 
>PF3D7_0925300.1-p1  gene_product=proline--tRNA ligase, putative 
>PF3D7_0929200.1-p1  gene_product=RNA-binding protein, putative 
>PF3D7_0934000.1-p1  gene_product=histidine--tRNA ligase, putative 
>PF3D7_1005000.1-p1  gene_product=methionine--tRNA ligase, putative 
>PF3D7_1011700.1-p1  gene_product=DNA repair protein RAD23, putative 
>PF3D7_1015200.1-p1  gene_product=cysteine--tRNA ligase 
>PF3D7_1017000.1-p1  gene_product=DNA polymerase delta catalytic subunit 
>PF3D7_1018000.1-p1  gene_product=tRNA pseudouridine synthase, putative 
>PF3D7_1018500.1-p1  gene_product=pre-mRNA-splicing factor RDS3, putative 
>PF3D7_1018600.1-p1  gene_product=tRNA wybutosine-synthesizing protein, putative 
>PF3D7_1019800.1-p1  gene_product=tRNA methyltransferase, putative 
>PF3D7_1024200.1-p1  gene_product=RNA-binding protein, putative 
>PF3D7_1032900.1-p1  gene_product=RNA polymerase II-associated protein 1, putative 
>PF3D7_1037000.1-p1  gene_product=DNA polymerase zeta catalytic subunit, putative 
>PF3D7_1104000.1-p1  gene_product=phenylalanine--tRNA ligase beta subunit 
>PF3D7_1104700.1-p1  gene_product=DNA-directed RNA polymerase III subunit RPC8, putative 
>PF3D7_1105700.1-p1  gene_product=tRNA-splicing ligase RtcB, putative 
>PF3D7_1107400.1-p1  gene_product=DNA repair protein RAD51 
>PF3D7_1108200.1-p1  gene_product=D-tyrosyl-tRNA(Tyr) deacylase 
>PF3D7_1117500.1-p1  gene_product=tyrosine--tRNA ligase 
>PF3D7_1117600.1-p1  gene_product=peptidyl-tRNA hydrolase ICT1 
>PF3D7_1117600.2-p1  gene_product=peptidyl-tRNA hydrolase ICT1 
>PF3D7_1120500.1-p1  gene_product=tRNA nucleotidyltransferase, putative 
>PF3D7_1124400.1-p1  gene_product=U6 snRNA-associated Sm-like protein LSm1, putative 
>PF3D7_1125300.1-p1  gene_product=DNA-directed RNA polymerase 
>PF3D7_1126000.1-p1  gene_product=threonine--tRNA ligase 
>PF3D7_1126400.1-p1  gene_product=mediator of RNA polymerase II transcription subunit 21, putative 
>PF3D7_1133800.1-p1  gene_product=RNA (uracil-5-)methyltransferase, putative 
>PF3D7_1135500.1-p1  gene_product=RNA-binding protein, putative 
>PF3D7_1143300.1-p1  gene_product=DNA-directed RNA polymerases I and III subunit RPAC1, putative 
>PF3D7_1202000.1-p1  gene_product=ATP-dependent DNA/RNA helicase PSH2 
>PF3D7_1204500.1-p1  gene_product=snRNA-activating protein complex subunit 1, putative 
>PF3D7_1207500.1-p1  gene_product=RNA-binding protein, putative 
>PF3D7_1207600.1-p1  gene_product=tRNA dimethylallyltransferase, putative 
>PF3D7_1209200.1-p1  gene_product=U6 snRNA-associated Sm-like protein LSm7, putative 
>PF3D7_1211400.1-p1  gene_product=heat shock protein DNAJ homologue Pfj4 
>PF3D7_1211700.1-p1  gene_product=DNA replication licensing factor MCM5, putative 
>PF3D7_1213200.1-p1  gene_product=mediator of RNA polymerase II transcription subunit 18, putative 
>PF3D7_1213700.1-p1  gene_product=DNA-directed RNA polymerases I, II, and III subunit RPABC3, putative 
>PF3D7_1216000.1-p1  gene_product=serine--tRNA ligase, putative 
>PF3D7_1217100.1-p1  gene_product=DNA topoisomerase 6 subunit A 
>PF3D7_1222000.1-p1  gene_product=tRNA-splicing ligase RtcB, putative 
>PF3D7_1223300.1-p1  gene_product=DNA gyrase subunit A 
>PF3D7_1225100.1-p1  gene_product=isoleucine--tRNA ligase, putative 
>PF3D7_1227100.1-p1  gene_product=DNA helicase 60 
>PF3D7_1227900.1-p1  gene_product=RNA pseudouridylate synthase, putative 
>PF3D7_1228500.1-p1  gene_product=RNA pseudouridylate synthase, putative 
>PF3D7_1230600.1-p1  gene_product=RNA cytosine C(5)-methyltransferase, putative 
>PF3D7_1232000.1-p1  gene_product=phenylalanine--tRNA ligase 
>PF3D7_1234300.1-p1  gene_product=DNA polymerase epsilon subunit B, putative 
>PF3D7_1239500.1-p1  gene_product=DNA gyrase subunit B 
>PF3D7_1242200.1-p1  gene_product=queuine tRNA-ribosyltransferase, putative 
>PF3D7_1244400.1-p1  gene_product=RNA-binding protein, putative 
>PF3D7_1249900.1-p1  gene_product=ribosomal RNA small subunit methyltransferase A2, putative 
>PF3D7_1251700.1-p1  gene_product=tryptophan--tRNA ligase 
>PF3D7_1304100.1-p1  gene_product=DNA ligase I 
>PF3D7_1307300.1-p1  gene_product=ATP-dependent RNA helicase DBP6, putative 
>PF3D7_1307600.1-p1  gene_product=DNA-directed RNA polymerase subunit alpha, putative 
>PF3D7_1309600.1-p1  gene_product=ribosomal RNA methyltransferase, putative 
>PF3D7_1313200.1-p1  gene_product=methionyl-tRNA formyltransferase, putative 
>PF3D7_1315700.1-p1  gene_product=tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRM61, putative 
>PF3D7_1320900.1-p1  gene_product=RNA-binding protein, putative 
>PF3D7_1325000.1-p1  gene_product=U6 snRNA-associated Sm-like protein LSm6, putative 
>PF3D7_1331100.1-p1  gene_product=DNA polymerase theta, putative 
>PF3D7_1332500.1-p1  gene_product=SAM-dependent RNA methyltransferase, putative 
>PF3D7_1332600.1-p1  gene_product=DNA-(apurinic or apyrimidinic site) lyase 1 
>PF3D7_1332700.1-p1  gene_product=ATP-dependent RNA helicase DBP8, putative 
>PF3D7_1332900.1-p1  gene_product=isoleucine--tRNA ligase, putative 
>PF3D7_1342700.1-p1  gene_product=DNA-directed RNA polymerases I, II, and III subunit RPABC4, putative 
>PF3D7_1343200.1-p1  gene_product=tRNA guanosine-2'-O-methyltransferase, putative 
>PF3D7_1344500.1-p1  gene_product=U6 snRNA phosphodiesterase, putative 
>PF3D7_1347500.1-p1  gene_product=DNA/RNA-binding protein Alba 4 
>PF3D7_1350100.1-p1  gene_product=lysine--tRNA ligase 
>PF3D7_1352200.1-p1  gene_product=U3 small nucleolar RNA-associated protein 15, putative 
>PF3D7_1357200.1-p1  gene_product=glutamate--tRNA ligase 
>PF3D7_1360900.1-p1  gene_product=RNA-binding protein, putative 
>PF3D7_1364800.1-p1  gene_product=DNA-directed RNA polymerases I, II, and III subunit RPABC1, putative 
>PF3D7_1367700.1-p1  gene_product=alanine--tRNA ligase 
>PF3D7_1404000.1-p1  gene_product=DNA-directed RNA polymerase II subunit RPB4, putative 
>PF3D7_1405400.1-p1  gene_product=DNA mismatch repair protein, putative 
>PF3D7_1406000.1-p1  gene_product=RNA-binding protein 8A, putative 
>PF3D7_1407100.1-p1  gene_product=rRNA 2'-O-methyltransferase fibrillarin, putative 
>PF3D7_1408900.1-p1  gene_product=tRNA-dihydrouridine synthase, putative 
>PF3D7_1409300.1-p1  gene_product=DNA damage-inducible protein 1 
>PF3D7_1415200.1-p1  gene_product=DNA-directed RNA polymerases I and III subunit RPAC2, putative 
>PF3D7_1415300.1-p1  gene_product=RNA-binding protein Nova-1, putative 
>PF3D7_1415800.1-p1  gene_product=ribosomal RNA small subunit methyltransferase A1 
>PF3D7_1416800.1-p1  gene_product=lysine--tRNA ligase, putative 
>PF3D7_1420400.1-p1  gene_product=glycine--tRNA ligase 
>PF3D7_1421400.1-p1  gene_product=DNA-directed RNA polymerase III subunit RPC6, putative 
>PF3D7_1427500.1-p1  gene_product=DNA mismatch repair protein MSH2, putative 
>PF3D7_1429400.1-p1  gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative 
>PF3D7_1443300.1-p1  gene_product=U6 snRNA-associated Sm-like protein LSm5, putative 
>PF3D7_1445100.1-p1  gene_product=histidine--tRNA ligase, putative 
>PF3D7_1445900.1-p1  gene_product=ATP-dependent RNA helicase DDX17 
>PF3D7_1451500.1-p1  gene_product=pre-mRNA-splicing factor CWF18, putative 
>PF3D7_1454100.1-p1  gene_product=tRNA intron endonuclease, putative 
>PF3D7_1459000.1-p1  gene_product=ATP-dependent RNA helicase DBP5 
>PF3D7_1461900.1-p1  gene_product=valine--tRNA ligase, putative 
>PF3D7_1463000.1-p1  gene_product=mediator of RNA polymerase II transcription subunit 20, putative 
>PF3D7_1463300.1-p1  gene_product=DNA polymerase alpha subunit B, putative 
>PF3D7_1469300.1-p1  gene_product=pre-rRNA-processing protein PNO1, putative 
>PF3D7_1469800.1-p1  gene_product=mediator of RNA polymerase II transcription subunit 22, putative 
>PF3D7_1471000.1-p1  gene_product=RNA 3'-terminal phosphate cyclase-like protein, putative 
>PF3D7_1472000.1-p1  gene_product=pre-mRNA-splicing factor ISY1, putative 
>PF3D7_1472700.1-p1  gene_product=DNA-directed RNA polymerase, alpha subunit, putative 
>PF3D7_1475000.1-p1  gene_product=mediator of RNA polymerase II transcription subunit 31, putative 
>PF3D7_API04300.1-p1  gene_product=DNA-directed RNA polymerase subunit beta', putative 
