>PF3D7_0100100.1-p1  gene_product=erythrocyte membrane protein 1, PfEMP1 
>PF3D7_0100200.1-p1  gene_product=rifin 
>PF3D7_0100300.1-p1  gene_product=erythrocyte membrane protein 1, PfEMP1 
>PF3D7_0100400.1-p1  gene_product=rifin 
>PF3D7_0100600.1-p1  gene_product=rifin 
>PF3D7_0100800.1-p1  gene_product=rifin 
>PF3D7_0100900.1-p1  gene_product=rifin 
>PF3D7_0101000.1-p1  gene_product=rifin 
>PF3D7_0101100.1-p1  gene_product=exported protein family 4 
>PF3D7_0101200.1-p1  gene_product=exported protein family 3 
>PF3D7_0101300.1-p1  gene_product=Pfmc-2TM Maurer's cleft two transmembrane protein 
>PF3D7_0101600.1-p1  gene_product=rifin 
>PF3D7_0101800.1-p1  gene_product=stevor 
>PF3D7_0101900.1-p1  gene_product=rifin 
>PF3D7_0102200.1-p1  gene_product=ring-infected erythrocyte surface antigen 
>PF3D7_0102300.1-p1  gene_product=Plasmodium exported protein, unknown function 
>PF3D7_0102500.1-p1  gene_product=erythrocyte binding antigen-181 
>PF3D7_0102600.1-p1  gene_product=serine/threonine protein kinase, FIKK family 
>PF3D7_0102700.1-p1  gene_product=merozoite-associated tryptophan-rich antigen 
>PF3D7_0102800.1-p1  gene_product=seipin domain-containing protein, putative 
>PF3D7_0102900.1-p1  gene_product=aspartate--tRNA ligase 
>PF3D7_0103000.1-p1  gene_product=vacuolar protein sorting-associated protein VTA1, putative 
>PF3D7_0103100.1-p1  gene_product=vacuolar protein sorting-associated protein 51, putative 
>PF3D7_0103200.1-p1  gene_product=nucleoside transporter 4 
>PF3D7_0103400.1-p1  gene_product=zinc-carboxypeptidase, putative 
>PF3D7_0103500.1-p1  gene_product=conserved Plasmodium protein, unknown function 
>PF3D7_0103600.1-p1  gene_product=ATP-dependent DNA/RNA helicase PSH1 
>PF3D7_0103700.1-p1  gene_product=L-seryl-tRNA(Sec) kinase, putative 
>PF3D7_0103800.1-p1  gene_product=actin-related protein ARP1, putative 
>PF3D7_0103900.1-p1  gene_product=parasite-infected erythrocyte surface protein 
>PF3D7_0104000.1-p1  gene_product=thrombospondin-related sporozoite protein 
>PF3D7_0104100.1-p1  gene_product=protein E140, putative 
>PF3D7_0104200.1-p1  gene_product=StAR-related lipid transfer protein 
>PF3D7_0104300.1-p1  gene_product=ubiquitin carboxyl-terminal hydrolase 1, putative 
>PF3D7_0104400.1-p1  gene_product=4-hydroxy-3-methylbut-2-enyl diphosphate reductase 
>PF3D7_0104500.1-p1  gene_product=conserved protein, unknown function 
>PF3D7_0104600.1-p1  gene_product=conserved Plasmodium protein, unknown function 
>PF3D7_0104700.1-p1  gene_product=major facilitator superfamily-related transporter, putative 
>PF3D7_0104800.1-p1  gene_product=novel putative transporter 1, putative 
>PF3D7_0105100.1-p1  gene_product=conserved Apicomplexan protein, unknown function 
>PF3D7_0105200.1-p1  gene_product=RAP protein RAP1 
>PF3D7_0105300.1-p1  gene_product=cyclase-associated protein 
>PF3D7_0105400.1-p1  gene_product=conserved Plasmodium protein, unknown function 
>PF3D7_0105500.1-p1  gene_product=conserved protein, unknown function 
>PF3D7_0105600.1-p1  gene_product=FtsJ-like methyltransferase, putative 
>PF3D7_0105700.1-p1  gene_product=asparagine-rich antigen Pfa35-2 
>PF3D7_0105900.1-p1  gene_product=3'-5' exonuclease, putative 
>PF3D7_0106200.1-p1  gene_product=EF hand domain-containing protein, putative 
>PF3D7_0106300.1-p1  gene_product=calcium-transporting ATPase 
>PF3D7_0106400.1-p1  gene_product=pre-rRNA-processing protein TSR2, putative 
>PF3D7_0106600.1-p1  gene_product=conserved Plasmodium protein, unknown function 
>PF3D7_0106800.1-p1  gene_product=ras-related protein Rab-5C 
>PF3D7_0106900.1-p1  gene_product=2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, putative 
>PF3D7_0107100.1-p1  gene_product=conserved protein, unknown function 
>PF3D7_0107200.1-p1  gene_product=CCR4 domain-containing protein 3, putative 
>PF3D7_0107300.1-p1  gene_product=conserved Plasmodium protein, unknown function 
>PF3D7_0107400.1-p1  gene_product=ATP synthase-associated protein, putative 
>PF3D7_0107500.1-p1  gene_product=Niemann-Pick type C1-related protein 
>PF3D7_0107600.1-p1  gene_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative 
>PF3D7_0107700.1-p1  gene_product=dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST3/OST6, putative 
>PF3D7_0107900.1-p1  gene_product=conserved Plasmodium protein, unknown function 
>PF3D7_0108000.1-p1  gene_product=proteasome subunit beta type-3, putative 
>PF3D7_0108100.1-p1  gene_product=conserved protein, unknown function 
>PF3D7_0108400.1-p1  gene_product=mitochondrial carrier protein, putative 
>PF3D7_0108400.2-p1  gene_product=mitochondrial carrier protein, putative 
>PF3D7_0108600.1-p1  gene_product=DnaJ domain-containing protein, putative 
>PF3D7_0108700.1-p1  gene_product=secreted ookinete protein, putative 
>PF3D7_0108800.1-p1  gene_product=mitochondrial carrier protein, putative 
>PF3D7_0109000.1-p1  gene_product=photosensitized INA-labeled protein PHIL1 
>PF3D7_0109100.1-p1  gene_product=LCCL domain-containing protein 
>PF3D7_0109300.1-p1  gene_product=elongation of fatty acids protein, putative 
>PF3D7_0109500.1-p1  gene_product=N-acetyltransferase, GNAT family, putative 
>PF3D7_0109600.1-p1  gene_product=cold-shock protein, putative 
>PF3D7_0109700.1-p1  gene_product=rRNA biogenesis protein RRP36, putative 
>PF3D7_0109850.1-p1  gene_product=phosphatidate cytidylyltransferase, putative 
>PF3D7_0109950.1-p1  gene_product=respiratory chain complex 2 associated protein 3 
>PF3D7_0110000.1-p1  gene_product=conserved Plasmodium protein, unknown function 
>PF3D7_0110100.1-p1  gene_product=selenocysteine-specific elongation factor, putative 
>PF3D7_0110200.1-p1  gene_product=FAD-linked sulfhydryl oxidase ERV1, putative 
>PF3D7_0110400.1-p1  gene_product=DNA-directed RNA polymerase II subunit RPB9, putative 
>PF3D7_0110600.1-p1  gene_product=phosphatidylinositol-4-phosphate 5-kinase 
>PF3D7_0110800.1-p1  gene_product=transcription initiation factor TFIIB, putative 
>PF3D7_0110900.1-p1  gene_product=adenylate kinase-like protein 1 
>PF3D7_0111200.1-p1  gene_product=conserved protein, unknown function 
>PF3D7_0111500.1-p1  gene_product=UMP-CMP kinase, putative 
>PF3D7_0111700.1-p1  gene_product=conserved protein, unknown function 
>PF3D7_0111900.1-p1  gene_product=mitochondrial distribution and morphology protein, putative 
>PF3D7_0112000.1-p1  gene_product=TatD-like deoxyribonuclease 
>PF3D7_0112100.1-p1  gene_product=PIMMS1 protein 
>PF3D7_0112200.1-p1  gene_product=multidrug resistance-associated protein 1 
>PF3D7_0112800.1-p1  gene_product=Plasmodium exported protein (hyp11), unknown function 
>PF3D7_0112900.1-p1  gene_product=Plasmodium exported protein, unknown function 
>PF3D7_0113000.1-p1  gene_product=glutamic acid-rich protein GARP 
>PF3D7_0113100.1-p1  gene_product=surface-associated interspersed protein 1.1 (SURFIN 1.1) 
>PF3D7_0113200.1-p1  gene_product=Plasmodium exported protein, unknown function 
>PF3D7_0113300.1-p1  gene_product=Plasmodium exported protein (hyp1), unknown function 
>PF3D7_0113400.1-p1  gene_product=Plasmodium exported protein, unknown function 
>PF3D7_0113700.1-p1  gene_product=heat shock protein 40, type II 
>PF3D7_0113800.1-p1  gene_product=DBL containing protein, unknown function 
>PF3D7_0113900.1-p1  gene_product=CX3CL1-binding protein 1 
>PF3D7_0114000.1-p1  gene_product=exported protein family 1 
>PF3D7_0114200.1-p1  gene_product=exported protein family 3 
>PF3D7_0114500.1-p1  gene_product=Plasmodium exported protein (hyp10), unknown function 
>PF3D7_0114700.1-p1  gene_product=rifin 
>PF3D7_0114750.1-p1  gene_product=Plasmodium exported protein, unknown function, fragment 
>PF3D7_0114800.1-p1  gene_product=Plasmodium exported protein (hyp7), unknown function 
>PF3D7_0115000.1-p1  gene_product=surface-associated interspersed protein 1.3 (SURFIN 1.3) 
>PF3D7_0115100.1-p1  gene_product=Plasmodium exported protein (PHISTa), unknown function 
>PF3D7_0115200.1-p1  gene_product=rifin 
>PF3D7_0115300.1-p1  gene_product=rifin 
>PF3D7_0115400.1-p1  gene_product=stevor 
>PF3D7_0115600.1-p1  gene_product=rifin 
>PF3D7_0115700.1-p1  gene_product=erythrocyte membrane protein 1, PfEMP1 
>PF3D7_0200100.1-p1  gene_product=erythrocyte membrane protein 1, PfEMP1 
>PF3D7_0200200.1-p1  gene_product=rifin 
>PF3D7_0200300.1-p1  gene_product=erythrocyte membrane protein 1 (PfEMP1), exon 2 
>PF3D7_0200400.1-p1  gene_product=stevor 
>PF3D7_0200500.1-p1  gene_product=rifin 
>PF3D7_0200600.1-p1  gene_product=rifin 
>PF3D7_0200700.1-p1  gene_product=rifin 
>PF3D7_0201000.1-p1  gene_product=rifin 
>PF3D7_0201100.1-p1  gene_product=Plasmodium exported protein, unknown function, fragment 
>PF3D7_0201200.1-p1  gene_product=rifin 
