Protein_id	Compartment	Score	Rank
PF3D7_0100100.1-p1	cyto	18.5	1
PF3D7_0100100.1-p1	cyto_nucl	15.1667	2
PF3D7_0100100.1-p1	nucl	10.5	3
PF3D7_0100100.1-p1	cyto_plas	10.1667	4
PF3D7_0100100.1-p1	cyto_mito	10.1667	5
PF3D7_0100200.1-p1	pero	19	1
PF3D7_0100200.1-p1	E.R.	5	2
PF3D7_0100200.1-p1	plas	2	3
PF3D7_0100200.1-p1	extr	2	4
PF3D7_0100200.1-p1	mito	2	5
PF3D7_0100200.1-p1	extr_plas	2	6
PF3D7_0100300.1-p1	cyto	15	1
PF3D7_0100300.1-p1	cyto_nucl	12.3333	2
PF3D7_0100300.1-p1	cyto_mito	9.5	3
PF3D7_0100300.1-p1	nucl	8.5	4
PF3D7_0100300.1-p1	mito_pero	3.33333	5
PF3D7_0100300.1-p1	plas	3	6
PF3D7_0100400.1-p1	pero	17	1
PF3D7_0100400.1-p1	mito	4.5	2
PF3D7_0100400.1-p1	plas	3	3
PF3D7_0100400.1-p1	E.R.	3	4
PF3D7_0100400.1-p1	cyto_mito	3	5
PF3D7_0100400.1-p1	extr	2	6
PF3D7_0100400.1-p1	E.R._golg	2	7
PF3D7_0100600.1-p1	pero	13	1
PF3D7_0100600.1-p1	E.R.	6	2
PF3D7_0100600.1-p1	extr	5	3
PF3D7_0100600.1-p1	plas	4	4
PF3D7_0100600.1-p1	E.R._mito	4	5
PF3D7_0100600.1-p1	E.R._golg	4	6
PF3D7_0100800.1-p1	extr	16	1
PF3D7_0100800.1-p1	E.R.	10	2
PF3D7_0100800.1-p1	golg	4	3
PF3D7_0100900.1-p1	extr	9	1
PF3D7_0100900.1-p1	E.R.	9	2
PF3D7_0100900.1-p1	golg	4	3
PF3D7_0100900.1-p1	plas	3	4
PF3D7_0100900.1-p1	lyso	3	5
PF3D7_0100900.1-p1	pero	2	6
PF3D7_0101000.1-p1	extr	18	1
PF3D7_0101000.1-p1	E.R.	13.5	2
PF3D7_0101000.1-p1	E.R._golg	7.5	3
PF3D7_0101100.1-p1	E.R.	19	1
PF3D7_0101100.1-p1	plas	12	2
PF3D7_0101200.1-p1	extr	13	1
PF3D7_0101200.1-p1	pero	10	2
PF3D7_0101200.1-p1	plas	5	3
PF3D7_0101200.1-p1	mito_pero	5	4
PF3D7_0101200.1-p1	cyto_pero	5	5
PF3D7_0101300.1-p1	plas	20	1
PF3D7_0101300.1-p1	pero	9	2
PF3D7_0101600.1-p1	pero	15	1
PF3D7_0101600.1-p1	E.R.	11	2
PF3D7_0101600.1-p1	extr	4	3
PF3D7_0101800.1-p1	plas	24	1
PF3D7_0101800.1-p1	E.R.	4	2
PF3D7_0101800.1-p1	pero	4	3
PF3D7_0101900.1-p1	pero	14	1
PF3D7_0101900.1-p1	plas	6	2
PF3D7_0101900.1-p1	extr_plas	6	3
PF3D7_0101900.1-p1	extr	4	4
PF3D7_0101900.1-p1	E.R.	4	5
PF3D7_0101900.1-p1	mito	2	6
PF3D7_0101900.1-p1	golg	2	7
PF3D7_0102200.1-p1	plas	14	1
PF3D7_0102200.1-p1	E.R.	5	2
PF3D7_0102200.1-p1	nucl	4	3
PF3D7_0102200.1-p1	cyto	4	4
PF3D7_0102200.1-p1	cyto_nucl	4	5
PF3D7_0102300.1-p1	extr	31	1
PF3D7_0102500.1-p1	pero	14	1
PF3D7_0102500.1-p1	plas	10	2
PF3D7_0102500.1-p1	extr_plas	7	3
PF3D7_0102500.1-p1	mito_pero	7	4
PF3D7_0102500.1-p1	cyto_pero	7	5
PF3D7_0102600.1-p1	extr	8	1
PF3D7_0102600.1-p1	E.R.	8	2
PF3D7_0102600.1-p1	golg	8	3
PF3D7_0102600.1-p1	E.R._golg	8	4
PF3D7_0102700.1-p1	extr	25	1
PF3D7_0102700.1-p1	mito_pero	3.5	2
PF3D7_0102700.1-p1	mito	2.5	3
PF3D7_0102800.1-p1	plas	25	1
PF3D7_0102800.1-p1	E.R.	4	2
PF3D7_0102900.1-p1	cyto	21.5	1
PF3D7_0102900.1-p1	cyto_nucl	11.5	2
PF3D7_0102900.1-p1	mito	9	3
PF3D7_0103000.1-p1	cyto	24	1
PF3D7_0103000.1-p1	mito	5	2
PF3D7_0103100.1-p1	nucl	8.5	1
PF3D7_0103100.1-p1	cyto_nucl	8.5	2
PF3D7_0103100.1-p1	cyto	7.5	3
PF3D7_0103100.1-p1	mito	7.5	4
PF3D7_0103100.1-p1	mito_pero	5.5	5
PF3D7_0103100.1-p1	plas	4	6
PF3D7_0103200.1-p1	plas	32	1
PF3D7_0103300.1-p1	cyto	17.5	1
PF3D7_0103300.1-p1	cyto_nucl	17	2
PF3D7_0103300.1-p1	nucl	13.5	3
PF3D7_0103400.1-p1	plas	26	1
PF3D7_0103400.1-p1	nucl	3	2
PF3D7_0103500.1-p1	plas	22	1
PF3D7_0103500.1-p1	E.R.	9	2
PF3D7_0103600.1-p1	E.R.	17.5	1
PF3D7_0103600.1-p1	E.R._golg	11	2
PF3D7_0103600.1-p1	extr	8	3
PF3D7_0103600.1-p1	golg	3.5	4
PF3D7_0103700.1-p1	cyto	20	1
PF3D7_0103700.1-p1	cyto_nucl	14	2
PF3D7_0103700.1-p1	nucl	6	3
PF3D7_0103700.1-p1	mito	2.5	4
PF3D7_0103700.1-p1	E.R._mito	2.5	5
PF3D7_0103800.1-p1	cyto_nucl	15	1
PF3D7_0103800.1-p1	cyto	13	2
PF3D7_0103800.1-p1	nucl	11	3
PF3D7_0103800.1-p1	cysk	7	4
PF3D7_0103900.1-p1	plas	14	1
PF3D7_0103900.1-p1	pero	6	2
PF3D7_0103900.1-p1	extr	4	3
PF3D7_0103900.1-p1	E.R.	4	4
PF3D7_0103900.1-p1	lyso	2	5
PF3D7_0103900.1-p1	golg	2	6
PF3D7_0103900.1-p1	E.R._mito	2	7
PF3D7_0104000.1-p1	pero	16	1
PF3D7_0104000.1-p1	nucl	4	2
PF3D7_0104000.1-p1	plas	3	3
PF3D7_0104000.1-p1	cyto	3	4
PF3D7_0104000.1-p1	mito	3	5
PF3D7_0104000.1-p1	cyto_mito	3	6
PF3D7_0104000.1-p1	cyto_plas	3	7
PF3D7_0104100.1-p1	plas	31	1
PF3D7_0104200.1-p1	extr	15	1
PF3D7_0104200.1-p1	E.R.	7	2
PF3D7_0104200.1-p1	mito_pero	4	3
PF3D7_0104200.1-p1	E.R._golg	4	4
PF3D7_0104300.1-p1	plas	27	1
PF3D7_0104300.1-p1	nucl	3	2
PF3D7_0104400.1-p1	plas	8	1
PF3D7_0104400.1-p1	cyto	6	2
PF3D7_0104400.1-p1	extr_plas	6	3
PF3D7_0104400.1-p1	golg	5.5	4
PF3D7_0104400.1-p1	E.R._golg	5	5
PF3D7_0104400.1-p1	extr	4	6
PF3D7_0104400.1-p1	cysk_plas	4	7
PF3D7_0104500.1-p1	extr	18	1
PF3D7_0104500.1-p1	cyto	13	2
PF3D7_0104600.1-p1	cyto	24	1
PF3D7_0104600.1-p1	nucl	6	2
PF3D7_0104700.1-p1	plas	32	1
PF3D7_0104800.1-p1	plas	30	1
PF3D7_0105100.1-p1	extr	12	1
PF3D7_0105100.1-p1	cyto	10	2
PF3D7_0105100.1-p1	cyto_nucl	9	3
PF3D7_0105100.1-p1	nucl	6	4
PF3D7_0105100.1-p1	extr_plas	6	5
PF3D7_0105200.1-p1	mito	27	1
PF3D7_0105200.1-p1	cyto	4	2
PF3D7_0105300.1-p1	cyto	17	1
PF3D7_0105300.1-p1	cyto_nucl	12.5	2
PF3D7_0105300.1-p1	extr	9	3
PF3D7_0105300.1-p1	nucl	4	4
PF3D7_0105400.1-p1	extr	26	1
PF3D7_0105400.1-p1	E.R.	3	2
PF3D7_0105500.1-p1	mito	15	1
PF3D7_0105500.1-p1	nucl	8	2
PF3D7_0105500.1-p1	cyto	8	3
PF3D7_0105500.1-p1	cyto_nucl	8	4
PF3D7_0105500.1-p1	E.R._mito	8	5
PF3D7_0105600.1-p1	plas	25	1
PF3D7_0105600.1-p1	E.R.	4	2
PF3D7_0105700.1-p1	nucl	18	1
PF3D7_0105700.1-p1	cyto_nucl	16.8333	2
PF3D7_0105700.1-p1	cyto	13.5	3
PF3D7_0105700.1-p1	cyto_mito	7.66667	4
PF3D7_0105800.1-p1	nucl	17	1
PF3D7_0105800.1-p1	cyto	13	2
PF3D7_0105900.1-p1	cyto	21.5	1
PF3D7_0105900.1-p1	cyto_nucl	12.5	2
PF3D7_0105900.1-p1	mito	5	3
PF3D7_0105900.1-p1	pero	3	4
PF3D7_0106000.1-p1	cyto	17	1
PF3D7_0106000.1-p1	cyto_nucl	12.8333	2
PF3D7_0106000.1-p1	cyto_mito	10.3333	3
PF3D7_0106000.1-p1	nucl	7.5	4
PF3D7_0106000.1-p1	mito_pero	4.33333	5
PF3D7_0106100.1-p1	cyto	9	1
PF3D7_0106100.1-p1	extr	8	2
PF3D7_0106100.1-p1	pero	8	3
PF3D7_0106100.1-p1	E.R.	4.5	4
PF3D7_0106100.1-p1	cyto_nucl	4.5	5
PF3D7_0106100.1-p1	extr_plas	4.5	6
PF3D7_0106100.1-p1	cyto_golg	4.5	7
PF3D7_0106200.1-p1	cyto	20.5	1
PF3D7_0106200.1-p1	cyto_nucl	17.3333	2
PF3D7_0106200.1-p1	cyto_plas	13.1667	3
PF3D7_0106200.1-p1	cyto_pero	11.8333	4
PF3D7_0106200.1-p1	nucl	6.5	5
PF3D7_0106300.1-p1	plas	32	1
PF3D7_0106400.1-p1	cyto	13	1
PF3D7_0106400.1-p1	cysk	9	2
PF3D7_0106400.1-p1	nucl	4	3
PF3D7_0106400.1-p1	mito	3	4
PF3D7_0106500.1-p1	cyto_nucl	18.1667	1
PF3D7_0106500.1-p1	cyto	17.5	2
PF3D7_0106500.1-p1	nucl	13.5	3
PF3D7_0106500.1-p1	cyto_plas	10	4
PF3D7_0106500.1-p1	cyto_mito	10	5
PF3D7_0106600.1-p1	extr	13	1
PF3D7_0106600.1-p1	cyto	8	2
PF3D7_0106600.1-p1	nucl	6	3
PF3D7_0106600.1-p1	E.R.	3	4
PF3D7_0106700.1-p1	cyto	13	1
PF3D7_0106700.1-p1	cyto_nucl	10.8333	2
PF3D7_0106700.1-p1	cyto_mito	8.5	3
PF3D7_0106700.1-p1	nucl	7.5	4
PF3D7_0106700.1-p1	plas	5	5
PF3D7_0106700.1-p1	mito_pero	3.83333	6
PF3D7_0106700.1-p1	pero	3	7
PF3D7_0106700.1-p1	extr_plas	3	8
PF3D7_0106800.1-p1	cyto	23.5	1
PF3D7_0106800.1-p1	cyto_nucl	15.5	2
PF3D7_0106800.1-p1	extr	3	3
PF3D7_0106800.1-p1	pero	3	4
PF3D7_0106900.1-p1	cyto	12.5	1
PF3D7_0106900.1-p1	mito	12	2
PF3D7_0106900.1-p1	cyto_nucl	8	3
PF3D7_0106900.1-p1	pero	3	4
PF3D7_0106900.1-p1	nucl	2.5	5
PF3D7_0107000.1-p1	nucl	32	1
PF3D7_0107100.1-p1	nucl	11.5	1
PF3D7_0107100.1-p1	cyto_nucl	11	2
